DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1993/05/14,09:00,3.30 ,4.40,,0.008 ,7.400 ,11.600 ,6.700 ,0.070 ,3.300 ,1.200 ,9.200 ,4.200 ,,
1993/05/17,12:15,2.14 ,4.30,,0.013 ,7.500 ,11.700 ,6.900 ,0.090 ,3.400 ,1.300 ,9.300 ,4.100 ,,
1993/05/19,11:40,2.02 ,4.70,,0.007 ,7.400 ,7.500 ,7.000 ,0.210 ,3.400 ,1.300 ,9.700 ,4.300 ,,
1993/05/21,12:30,1.57 ,4.30,,0.007 ,7.000 ,10.800 ,6.800 ,0.170 ,3.600 ,1.300 ,9.600 ,4.200 ,,
1993/05/24,12:00,1.30 ,4.40,,,7.000 ,10.800 ,6.600 ,0.220 ,3.800 ,1.300 ,10.000 ,4.300 ,,
1993/05/26,14:15,0.96 ,4.30,,0.008 ,7.200 ,10.400 ,6.500 ,0.260 ,3.600 ,1.500 ,9.600 ,4.100 ,,
1993/05/28,13:15,0.92 ,4.30,,0.010 ,7.100 ,10.400 ,6.400 ,0.220 ,3.900 ,1.400 ,9.600 ,4.000 ,,
1993/06/02,08:30,0.89 ,4.70,0.020 ,0.009 ,8.100 ,11.300 ,6.300 ,0.390 ,3.900 ,1.400 ,11.400 ,4.700 ,,
1993/06/04,13:40,0.76 ,4.10,0.040 ,0.011 ,7.800 ,11.200 ,6.100 ,0.270 ,4.100 ,1.500 ,10.200 ,4.100 ,,
1993/06/07,13:00,0.64 ,4.00,0.040 ,0.010 ,7.600 ,10.400 ,5.600 ,0.230 ,4.000 ,1.500 ,10.200 ,4.000 ,,
1993/06/09,08:00,0.92 ,4.00,0.020 ,0.008 ,9.200 ,12.600 ,6.000 ,0.490 ,5.200 ,1.700 ,13.700 ,5.000 ,,
1993/06/11,13:20,0.67 ,4.30,0.020 ,0.015 ,9.200 ,12.300 ,5.700 ,0.340 ,4.500 ,1.600 ,12.100 ,4.500 ,,
1993/06/14,13:30,0.52 ,3.80,0.040 ,0.017 ,8.200 ,10.900 ,5.000 ,0.310 ,4.800 ,1.700 ,11.000 ,4.200 ,,
1993/06/16,08:35,0.54 ,4.00,,0.008 ,8.000 ,10.600 ,4.600 ,0.420 ,4.500 ,1.400 ,12.700 ,4.700 ,,
1993/06/18,14:00,0.40 ,3.60,0.020 ,0.017 ,7.800 ,10.400 ,5.100 ,0.380 ,4.500 ,1.700 ,10.700 ,4.100 ,,
1993/06/21,13:25,0.52 ,3.50,0.030 ,0.014 ,8.200 ,11.300 ,5.400 ,,4.500 ,1.800 ,11.800 ,4.400 ,,
1993/06/23,11:00,0.49 ,4.20,,0.011 ,8.500 ,11.300 ,5.500 ,0.420 ,4.600 ,1.600 ,12.500 ,4.800 ,,
1993/06/25,08:00,0.45 ,4.00,0.020 ,0.010 ,8.100 ,10.100 ,5.100 ,0.500 ,4.800 ,1.500 ,12.700 ,4.900 ,,
1993/06/28,09:15,1.66 ,9.00,0.020 ,0.026 ,10.000 ,18.200 ,7.300 ,0.300 ,4.400 ,2.100 ,17.000 ,6.900 ,,
1993/06/30,10:15,0.99 ,6.90,0.020 ,0.018 ,9.000 ,14.900 ,7.200 ,0.260 ,4.200 ,1.700 ,14.400 ,5.900 ,,
1993/07/02,12:15,2.25 ,5.20,0.020 ,0.020 ,9.400 ,14.200 ,6.100 ,0.220 ,4.700 ,2.500 ,14.800 ,5.600 ,,
1993/07/07,13:20,0.64 ,5.20,0.040 ,0.022 ,8.600 ,12.500 ,5.700 ,0.410 ,4.500 ,2.100 ,13.100 ,5.100 ,,
1993/07/09,12:20,0.59 ,5.00,0.040 ,0.020 ,8.500 ,11.800 ,5.200 ,0.370 ,4.600 ,2.200 ,13.000 ,5.100 ,,
1993/07/12,14:15,0.42 ,4.60,0.050 ,0.024 ,8.200 ,11.200 ,6.100 ,0.370 ,4.400 ,2.200 ,12.800 ,5.000 ,,
1993/07/14,12:15,0.40 ,4.30,0.010 ,0.020 ,7.800 ,10.600 ,6.000 ,0.400 ,4.300 ,1.600 ,12.200 ,4.800 ,,
1993/07/16,13:00,0.99 ,7.40,0.010 ,0.026 ,10.600 ,14.100 ,7.800 ,0.350 ,4.900 ,2.400 ,15.700 ,5.900 ,,
1993/07/19,11:55,0.67 ,5.90,0.010 ,0.017 ,9.800 ,12.500 ,7.400 ,0.420 ,4.900 ,1.900 ,14.600 ,5.600 ,,
1993/07/21,13:15,0.47 ,5.40,0.030 ,0.018 ,9.100 ,11.300 ,6.700 ,0.380 ,4.800 ,1.900 ,13.500 ,5.100 ,,
1993/07/23,14:00,0.36 ,5.10,0.050 ,0.018 ,8.800 ,10.900 ,6.500 ,0.400 ,4.700 ,1.800 ,13.200 ,5.000 ,,
1993/07/26,12:50,0.40 ,4.30,,0.015 ,8.600 ,10.500 ,6.000 ,0.400 ,4.600 ,1.800 ,13.100 ,4.900 ,,
1993/07/28,09:00,0.34 ,4.30,,0.015 ,8.100 ,9.800 ,5.500 ,0.550 ,4.500 ,1.700 ,13.800 ,5.200 ,,
1993/07/30,11:30,0.52 ,4.70,,0.020 ,10.100 ,12.200 ,6.400 ,0.560 ,5.400 ,2.200 ,15.100 ,5.400 ,,
1993/08/02,09:45,0.36 ,3.90,0.010 ,0.016 ,8.500 ,10.200 ,5.600 ,0.400 ,4.920 ,1.820 ,16.500 ,5.420 ,,
1993/08/04,14:00,0.29 ,3.70,0.010 ,0.019 ,8.200 ,9.500 ,5.400 ,0.550 ,4.810 ,1.950 ,15.420 ,4.950 ,,
1993/08/06,07:15,0.29 ,3.40,0.010 ,0.013 ,7.900 ,9.200 ,5.400 ,0.640 ,5.060 ,1.670 ,16.120 ,5.490 ,,
1993/08/09,09:55,0.27 ,3.30,0.010 ,0.015 ,7.800 ,9.000 ,5.900 ,0.630 ,4.890 ,1.610 ,15.610 ,5.340 ,,
1993/08/11,07:50,0.38 ,3.20,0.010 ,0.014 ,8.100 ,9.500 ,5.700 ,0.550 ,7.580 ,0.320 ,26.440 ,5.490 ,,
1993/08/13,10:00,1.62 ,5.40,0.010 ,0.065 ,11.100 ,17.300 ,6.600 ,0.570 ,6.730 ,4.070 ,19.950 ,5.950 ,,
1993/08/16,13:45,0.49 ,4.50,0.010 ,0.018 ,10.200 ,11.400 ,7.000 ,0.650 ,5.970 ,2.290 ,18.130 ,5.770 ,,
1993/08/18,09:45,0.54 ,3.90,,0.018 ,11.000 ,12.000 ,7.400 ,0.670 ,6.470 ,2.010 ,19.010 ,5.970 ,,
1993/08/20,10:45,0.40 ,3.90,0.010 ,0.013 ,9.400 ,10.400 ,6.800 ,0.640 ,5.700 ,2.110 ,17.930 ,5.700 ,,
1993/08/23,12:00,0.45 ,4.40,0.010 ,0.017 ,10.800 ,11.300 ,6.900 ,0.570 ,6.030 ,1.990 ,13.100 ,5.650 ,,
1993/08/25,13:30,0.34 ,4.00,0.010 ,0.033 ,10.500 ,10.500 ,6.700 ,0.570 ,5.610 ,2.950 ,17.610 ,5.450 ,,
1993/08/27,10:40,0.33 ,3.30,0.010 ,0.019 ,8.900 ,9.400 ,6.400 ,0.670 ,5.380 ,2.110 ,17.250 ,5.510 ,,
1993/08/30,13:15,0.24 ,2.90,,0.031 ,8.600 ,8.900 ,6.800 ,0.640 ,5.650 ,2.190 ,16.720 ,5.100 ,,
1993/09/01,13:15,0.24 ,2.80,0.020 ,0.030 ,8.700 ,8.400 ,7.000 ,,5.360 ,2.280 ,12.800 ,5.280 ,,
1993/09/03,13:00,0.42 ,3.40,0.020 ,0.036 ,11.000 ,11.700 ,7.600 ,0.720 ,6.010 ,3.900 ,14.100 ,5.790 ,,
1993/09/08,11:15,0.89 ,5.20,0.020 ,0.015 ,11.200 ,12.400 ,7.800 ,0.590 ,6.050 ,2.490 ,13.900 ,6.440 ,,
1993/09/10,08:15,0.92 ,4.60,0.010 ,0.021 ,11.600 ,12.800 ,8.000 ,0.690 ,6.190 ,2.820 ,14.000 ,6.360 ,,
1993/09/13,13:50,0.38 ,4.40,0.020 ,0.014 ,10.100 ,10.700 ,7.500 ,0.550 ,5.770 ,2.170 ,12.300 ,5.630 ,,
1993/09/15,13:45,0.34 ,4.00,0.020 ,0.017 ,9.500 ,10.000 ,7.600 ,0.580 ,5.420 ,2.030 ,12.000 ,5.370 ,,
1993/09/17,07:30,0.76 ,4.10,0.020 ,0.019 ,12.000 ,13.100 ,8.200 ,0.730 ,6.980 ,2.950 ,14.600 ,6.340 ,,
1993/09/20,11:50,0.52 ,5.40,0.020 ,0.012 ,10.700 ,11.400 ,8.100 ,0.540 ,5.900 ,2.080 ,13.600 ,6.230 ,,
1993/09/22,08:00,0.52 ,5.30,0.010 ,0.012 ,10.300 ,11.000 ,8.400 ,0.560 ,5.600 ,2.080 ,13.800 ,6.260 ,,
1993/09/24,08:35,0.47 ,4.70,0.020 ,0.008 ,9.900 ,11.200 ,8.200 ,,5.530 ,2.050 ,12.900 ,6.100 ,,
1993/09/27,13:00,1.71 ,5.60,0.010 ,0.032 ,11.500 ,15.400 ,7.800 ,0.630 ,5.980 ,3.990 ,19.320 ,6.510 ,,
1993/09/29,10:20,1.87 ,8.20,0.010 ,0.012 ,11.200 ,15.300 ,8.000 ,0.360 ,4.960 ,2.310 ,14.300 ,7.530 ,,
1993/10/01,08:45,1.10 ,7.50,0.050 ,0.008 ,10.800 ,14.000 ,8.100 ,0.370 ,5.200 ,1.800 ,15.800 ,6.600 ,,
1993/10/04,13:00,1.10 ,6.80,0.010 ,0.012 ,11.300 ,15.100 ,8.000 ,0.400 ,5.600 ,2.200 ,16.000 ,6.400 ,,
1993/10/06,08:55,0.89 ,7.20,0.010 ,0.007 ,10.400 ,13.800 ,8.000 ,0.370 ,5.000 ,1.800 ,15.600 ,6.380 ,,
1993/10/08,12:00,0.82 ,6.80,0.010 ,0.008 ,10.100 ,13.100 ,8.000 ,,5.200 ,2.000 ,15.200 ,6.200 ,,
1993/10/13,09:00,0.96 ,6.00,0.010 ,0.011 ,11.400 ,15.500 ,8.000 ,0.210 ,5.800 ,2.600 ,17.870 ,6.400 ,,
1993/10/15,07:45,0.79 ,6.50,0.010 ,0.006 ,10.700 ,14.000 ,8.300 ,0.470 ,5.080 ,2.480 ,13.200 ,6.630 ,,
1993/10/18,13:05,0.67 ,6.20,0.010 ,0.006 ,10.700 ,13.300 ,8.300 ,0.500 ,5.400 ,2.200 ,15.400 ,6.200 ,,
1993/10/20,08:00,0.82 ,5.40,0.010 ,,11.400 ,13.700 ,7.800 ,0.570 ,5.600 ,2.600 ,16.200 ,6.400 ,,
1993/10/22,13:00,0.89 ,5.80,0.010 ,0.008 ,12.000 ,15.900 ,8.500 ,0.510 ,6.200 ,2.600 ,17.000 ,6.400 ,,
1993/10/25,13:30,0.89 ,7.20,0.010 ,,10.500 ,14.500 ,,0.380 ,5.000 ,2.000 ,15.400 ,6.400 ,,
1993/10/27,09:30,0.86 ,6.90,0.010 ,,10.600 ,14.100 ,8.400 ,,5.200 ,2.000 ,15.400 ,6.600 ,,
1993/10/29,08:45,0.73 ,6.90,0.010 ,,10.600 ,13.700 ,7.900 ,0.420 ,5.200 ,1.800 ,15.200 ,6.400 ,,
1993/11/01,13:00,3.08 ,7.00,0.020 ,0.024 ,11.700 ,18.900 ,7.400 ,0.440 ,5.600 ,3.400 ,16.000 ,6.800 ,,
1993/11/03,13:30,2.81 ,9.40,0.020 ,0.007 ,11.000 ,17.700 ,7.700 ,0.260 ,4.600 ,2.200 ,16.000 ,7.400 ,,
1993/11/05,10:30,2.25 ,8.60,0.020 ,0.008 ,10.700 ,16.600 ,7.500 ,0.290 ,4.600 ,2.400 ,15.800 ,7.000 ,,
1993/11/08,14:15,1.18 ,7.90,0.020 ,0.006 ,10.200 ,15.000 ,7.600 ,,4.600 ,1.800 ,14.600 ,6.600 ,,
1993/11/10,12:00,1.03 ,7.60,0.020 ,,9.800 ,14.400 ,7.600 ,0.300 ,4.600 ,1.800 ,14.200 ,6.400 ,,
1993/11/12,12:30,0.96 ,7.30,0.030 ,0.005 ,10.000 ,14.300 ,7.000 ,0.270 ,4.800 ,2.000 ,14.000 ,6.200 ,,
1993/11/15,11:30,0.96 ,6.40,0.020 ,0.006 ,10.100 ,14.200 ,6.600 ,0.410 ,5.000 ,1.800 ,14.800 ,6.200 ,,
1993/11/17,11:50,0.92 ,6.10,0.020 ,0.007 ,9.700 ,13.400 ,6.400 ,0.410 ,4.800 ,1.800 ,14.400 ,6.000 ,,
1993/11/19,11:45,2.08 ,8.40,0.020 ,0.012 ,10.700 ,16.700 ,7.500 ,0.380 ,4.800 ,2.200 ,16.000 ,6.800 ,,
1993/11/22,11:30,1.48 ,8.60,0.020 ,0.006 ,10.300 ,15.800 ,7.500 ,0.270 ,4.600 ,1.600 ,15.600 ,6.800 ,,
1993/11/24,13:30,1.30 ,8.30,0.020 ,0.005 ,10.000 ,15.100 ,7.100 ,0.250 ,4.600 ,1.600 ,15.000 ,6.400 ,,
1993/11/26,09:15,0.99 ,7.90,0.020 ,,9.700 ,14.400 ,7.800 ,0.300 ,4.600 ,1.600 ,16.030 ,6.510 ,,
1993/11/29,11:55,24.77 ,9.80,0.010 ,0.044 ,9.400 ,18.100 ,6.500 ,0.260 ,3.000 ,2.400 ,16.110 ,6.800 ,,
1993/12/01,09:45,7.03 ,8.90,0.070 ,0.021 ,9.000 ,16.600 ,7.220 ,0.230 ,3.400 ,2.000 ,14.000 ,6.400 ,,
1993/12/03,11:40,4.25 ,7.90,0.070 ,0.019 ,8.700 ,15.100 ,7.510 ,0.170 ,3.600 ,1.800 ,13.000 ,5.800 ,,
1993/12/06,12:00,23.22 ,8.80,0.070 ,0.028 ,8.200 ,17.700 ,6.620 ,0.140 ,3.000 ,2.000 ,13.600 ,6.400 ,,
1993/12/08,08:35,8.30 ,8.00,0.070 ,0.016 ,8.200 ,16.000 ,7.110 ,0.120 ,3.000 ,1.600 ,12.600 ,6.000 ,,
1993/12/10,10:45,7.03 ,7.00,0.070 ,0.016 ,8.100 ,14.700 ,6.970 ,0.170 ,3.400 ,1.600 ,12.000 ,5.400 ,,
1993/12/13,09:30,7.52 ,8.30,0.020 ,0.012 ,8.200 ,15.800 ,7.370 ,0.110 ,3.200 ,1.600 ,12.200 ,6.000 ,,
1993/12/15,11:45,4.86 ,7.30,0.020 ,0.012 ,8.000 ,14.700 ,7.330 ,0.110 ,3.200 ,1.600 ,11.600 ,5.600 ,,
1993/12/17,09:05,3.01 ,6.80,0.010 ,0.010 ,7.800 ,13.800 ,7.530 ,0.170 ,3.400 ,1.400 ,11.400 ,5.200 ,,
1993/12/20,09:20,2.43 ,6.40,0.030 ,0.012 ,8.000 ,14.000 ,7.630 ,0.160 ,3.720 ,1.290 ,8.860 ,5.590 ,,
1993/12/22,12:00,6.32 ,7.80,0.010 ,0.014 ,9.100 ,16.600 ,7.210 ,0.110 ,3.770 ,1.630 ,10.480 ,6.310 ,,
1993/12/27,12:40,2.68 ,7.50,0.020 ,0.009 ,8.300 ,14.700 ,7.460 ,0.090 ,3.780 ,1.370 ,9.080 ,5.980 ,,
1993/12/29,12:50,2.31 ,7.10,0.010 ,0.008 ,8.000 ,14.300 ,7.660 ,0.170 ,3.660 ,1.360 ,8.700 ,5.770 ,,
1994/01/03,10:35,1.57 ,6.60,0.050 ,,8.100 ,13.500 ,7.420 ,0.200 ,3.760 ,1.310 ,8.440 ,5.520 ,,
1994/01/05,11:40,1.62 ,6.40,0.070 ,,8.000 ,12.900 ,7.440 ,0.200 ,,,,,,
1994/01/07,11:45,1.43 ,5.70,0.010 ,,8.900 ,13.100 ,7.080 ,0.170 ,4.030 ,1.280 ,7.460 ,4.990 ,,
1994/01/07,08:30,1.34 ,6.20,0.040 ,,8.000 ,12.700 ,7.480 ,0.190 ,3.840 ,1.210 ,8.210 ,5.280 ,,
1994/01/10,09:40,1.03 ,6.40,,0.007 ,8.700 ,13.000 ,8.020 ,0.220 ,4.220 ,1.320 ,8.720 ,5.520 ,,
1994/01/12,10:20,1.14 ,6.10,0.010 ,0.006 ,8.100 ,12.200 ,7.560 ,0.250 ,3.890 ,1.330 ,8.180 ,5.310 ,,
1994/01/14,11:10,1.22 ,6.00,0.010 ,0.005 ,8.900 ,12.300 ,7.480 ,0.230 ,4.390 ,1.440 ,8.340 ,5.260 ,,
1994/01/19,13:40,0.86 ,5.60,,0.011 ,8.000 ,12.000 ,7.830 ,0.190 ,4.050 ,1.290 ,8.260 ,5.120 ,,
1994/01/21,13:00,0.82 ,5.60,0.010 ,0.011 ,7.800 ,11.600 ,8.090 ,0.300 ,3.930 ,1.320 ,8.280 ,5.090 ,,
1994/01/24,09:00,0.89 ,5.50,0.010 ,,7.600 ,11.400 ,7.870 ,0.260 ,4.100 ,1.310 ,8.230 ,5.050 ,,
1994/01/26,09:05,2.08 ,5.80,,,12.900 ,13.200 ,6.570 ,0.260 ,6.330 ,1.700 ,10.380 ,5.600 ,,
1994/01/31,10:55,7.27 ,6.60,0.070 ,0.012 ,9.400 ,15.700 ,6.550 ,0.080 ,3.850 ,1.610 ,9.600 ,5.780 ,,
1994/02/02,12:25,5.34 ,6.00,0.070 ,0.006 ,8.200 ,14.000 ,6.690 ,0.150 ,3.580 ,1.460 ,8.890 ,4.850 ,,
1994/02/04,11:00,4.50 ,5.70,0.070 ,0.007 ,8.200 ,13.400 ,6.950 ,0.120 ,3.440 ,1.540 ,8.480 ,4.620 ,,
1994/02/09,10:00,2.68 ,5.40,0.070 ,,8.700 ,12.400 ,6.920 ,0.130 ,4.200 ,1.340 ,8.410 ,4.510 ,,
1994/02/11,09:40,1.92 ,5.30,0.020 ,,8.100 ,12.000 ,6.890 ,0.190 ,4.010 ,1.550 ,8.100 ,4.470 ,,
1994/02/14,11:00,1.81 ,5.30,0.070 ,,8.800 ,12.100 ,7.290 ,0.210 ,4.110 ,1.260 ,8.480 ,4.530 ,,
1994/02/16,11:45,1.57 ,5.30,0.060 ,,11.400 ,12.100 ,6.940 ,0.190 ,5.320 ,1.400 ,9.060 ,4.670 ,,
1994/02/18,11:40,1.71 ,5.10,0.020 ,,14.600 ,12.700 ,6.680 ,0.220 ,6.820 ,1.800 ,10.380 ,4.910 ,,
1994/02/24,13:20,14.80 ,6.10,0.010 ,,9.200 ,15.200 ,5.580 ,0.050 ,3.930 ,1.720 ,9.840 ,5.120 ,,
1994/02/25,10:45,10.63 ,6.20,,0.019 ,9.800 ,15.000 ,,0.110 ,,,,,,
1994/02/28,11:40,6.32 ,5.70,0.010 ,,9.500 ,13.600 ,6.500 ,0.090 ,3.750 ,1.400 ,7.930 ,5.120 ,,
1994/03/02,08:10,4.86 ,5.80,0.020 ,0.015 ,10.100 ,13.400 ,6.410 ,0.120 ,4.150 ,1.760 ,9.080 ,4.910 ,,
1994/03/04,09:55,4.33 ,5.80,0.010 ,0.011 ,9.500 ,13.200 ,6.450 ,0.130 ,4.190 ,1.700 ,8.910 ,4.920 ,,
1994/03/07,11:30,3.52 ,5.60,0.010 ,0.020 ,13.400 ,13.800 ,6.330 ,0.160 ,5.660 ,1.860 ,10.110 ,5.010 ,,
1994/03/09,09:45,11.27 ,6.50,0.080 ,0.016 ,13.000 ,16.400 ,5.800 ,0.130 ,5.080 ,1.930 ,11.160 ,5.640 ,,
1994/03/11,11:30,27.49 ,6.90,0.020 ,0.022 ,9.700 ,17.100 ,5.400 ,0.100 ,3.640 ,1.730 ,10.770 ,5.710 ,,
1994/03/14,11:30,21.26 ,6.20,0.010 ,0.021 ,9.600 ,16.300 ,5.440 ,0.100 ,,,,,,
1994/03/15,09:30,30.38 ,6.70,0.010 ,0.019 ,8.800 ,17.300 ,5.480 ,0.140 ,3.510 ,1.800 ,10.460 ,5.620 ,,
1994/03/16,11:30,25.30 ,6.70,0.020 ,0.017 ,8.600 ,17.300 ,5.610 ,0.130 ,3.410 ,1.710 ,10.150 ,5.540 ,,
1994/03/17,11:20,17.21 ,6.40,0.010 ,0.014 ,8.500 ,16.500 ,5.730 ,0.090 ,3.530 ,1.770 ,9.730 ,5.480 ,,
1994/03/18,11:20,12.96 ,6.10,0.020 ,0.013 ,8.500 ,15.700 ,5.800 ,0.110 ,3.420 ,1.450 ,9.450 ,5.170 ,,
1994/03/21,11:35,9.72 ,5.60,0.020 ,0.011 ,9.900 ,15.300 ,5.810 ,0.090 ,3.980 ,1.510 ,9.350 ,5.000 ,,
1994/03/22,09:20,29.78 ,6.40,0.010 ,0.022 ,9.200 ,17.100 ,5.130 ,0.090 ,3.800 ,1.730 ,10.350 ,5.430 ,,
1994/03/23,10:40,40.85 ,7.00,0.020 ,0.025 ,8.300 ,17.900 ,5.260 ,0.090 ,3.170 ,1.610 ,10.450 ,5.610 ,,
1994/03/24,08:15,44.53 ,6.90,0.030 ,0.024 ,7.600 ,18.100 ,5.230 ,0.080 ,3.110 ,1.710 ,10.350 ,5.500 ,,
1994/03/25,10:45,57.61 ,6.10,0.010 ,0.030 ,6.600 ,16.900 ,4.710 ,0.070 ,2.620 ,1.700 ,9.750 ,5.060 ,,
1994/03/28,09:45,49.19 ,5.80,0.090 ,0.033 ,7.100 ,17.100 ,4.930 ,0.120 ,2.840 ,1.530 ,10.090 ,5.140 ,,
1994/03/29,11:55,38.06 ,5.70,0.030 ,0.029 ,7.100 ,17.200 ,4.980 ,0.100 ,2.970 ,1.680 ,9.930 ,5.140 ,,
1994/03/30,09:20,28.62 ,6.30,0.020 ,0.031 ,7.500 ,18.000 ,5.500 ,0.110 ,2.930 ,1.660 ,8.910 ,5.730 ,,
1994/03/31,10:45,22.72 ,6.20,0.010 ,0.013 ,7.600 ,17.400 ,5.400 ,0.100 ,2.720 ,1.430 ,8.510 ,5.630 ,,
1994/04/01,09:45,17.63 ,6.00,0.010 ,0.012 ,7.700 ,16.700 ,5.500 ,0.100 ,2.940 ,1.470 ,8.020 ,5.430 ,,
1994/04/04,09:00,12.26 ,4.90,,0.010 ,7.400 ,14.300 ,5.700 ,0.130 ,3.110 ,1.270 ,7.100 ,4.890 ,,
1994/04/05,10:35,8.85 ,5.00,0.010 ,0.009 ,7.600 ,14.400 ,5.700 ,0.040 ,3.250 ,1.280 ,7.010 ,4.870 ,,
1994/04/06,12:00,7.27 ,4.80,,0.009 ,7.600 ,13.900 ,5.800 ,0.100 ,3.210 ,1.410 ,6.950 ,4.810 ,,
1994/04/07,07:45,13.32 ,4.10,0.010 ,0.046 ,7.500 ,14.200 ,5.200 ,0.080 ,3.540 ,1.730 ,8.350 ,4.410 ,,
1994/04/08,10:50,12.61 ,5.90,0.010 ,0.009 ,7.600 ,17.000 ,5.800 ,0.080 ,3.010 ,1.340 ,8.270 ,5.580 ,,
1994/04/11,08:20,7.27 ,5.00,0.010 ,0.007 ,7.700 ,15.200 ,6.100 ,0.080 ,3.310 ,1.240 ,7.450 ,4.900 ,,
1994/04/12,10:15,17.21 ,3.80,,0.064 ,7.000 ,13.800 ,4.700 ,0.190 ,3.520 ,1.940 ,8.680 ,4.220 ,,
1994/04/13,10:25,43.03 ,3.20,0.010 ,0.114 ,4.500 ,11.000 ,3.500 ,0.250 ,2.420 ,2.010 ,7.150 ,3.440 ,,
1994/04/14,07:50,36.04 ,5.80,0.010 ,0.017 ,6.500 ,18.500 ,5.600 ,0.090 ,2.780 ,1.350 ,8.350 ,5.430 ,,
1994/04/15,05:50,19.85 ,5.50,0.030 ,0.013 ,6.600 ,17.200 ,5.700 ,0.140 ,2.560 ,1.330 ,8.950 ,5.090 ,,
1994/04/18,15:15,7.78 ,4.80,0.010 ,0.007 ,7.100 ,14.800 ,6.200 ,0.050 ,3.040 ,1.330 ,6.720 ,4.650 ,,
1994/04/20,13:00,5.24 ,4.50,0.010 ,,7.200 ,13.800 ,6.300 ,0.130 ,3.240 ,1.290 ,6.360 ,4.470 ,,
1994/04/24,10:00,3.30 ,4.40,0.010 ,,7.300 ,13.200 ,6.400 ,,3.140 ,1.110 ,6.120 ,4.440 ,,
1994/04/25,13:45,2.81 ,4.20,,0.009 ,7.300 ,12.700 ,6.600 ,0.110 ,3.480 ,1.440 ,5.970 ,4.130 ,,
1994/04/29,10:30,2.68 ,4.00,,,6.900 ,11.800 ,6.400 ,0.200 ,3.420 ,1.190 ,6.460 ,4.230 ,,
1994/05/02,11:35,13.68 ,5.60,0.020 ,0.023 ,6.500 ,16.800 ,6.500 ,0.120 ,2.640 ,1.370 ,7.620 ,5.260 ,,
1994/05/04,09:00,7.27 ,5.00,0.010 ,0.010 ,6.700 ,15.100 ,6.500 ,0.160 ,2.860 ,1.290 ,6.980 ,4.820 ,,
1994/05/06,13:30,4.68 ,4.20,,0.013 ,6.700 ,13.600 ,6.600 ,0.150 ,2.930 ,1.240 ,6.360 ,4.340 ,,
1994/05/09,13:40,6.32 ,5.00,,0.014 ,7.000 ,15.400 ,6.500 ,0.160 ,3.130 ,1.340 ,7.190 ,4.880 ,,
1994/05/11,09:30,4.68 ,4.70,,0.009 ,6.800 ,14.100 ,6.500 ,0.130 ,2.980 ,1.180 ,7.580 ,4.370 ,,
1994/05/13,12:40,3.60 ,4.30,0.010 ,0.010 ,6.900 ,13.500 ,6.500 ,0.130 ,3.240 ,1.410 ,7.190 ,4.110 ,,
1994/05/16,08:50,3.01 ,4.10,,0.009 ,7.100 ,13.000 ,6.600 ,0.200 ,3.550 ,1.010 ,7.540 ,4.180 ,,
1994/05/18,07:40,2.31 ,4.20,,0.012 ,6.900 ,12.600 ,6.900 ,0.190 ,3.450 ,1.560 ,7.620 ,4.240 ,,
1994/05/20,10:35,1.92 ,4.10,,0.011 ,7.000 ,12.300 ,6.900 ,0.170 ,3.560 ,0.890 ,7.220 ,3.960 ,,
1994/05/23,12:40,1.43 ,4.20,,0.012 ,7.000 ,12.200 ,6.900 ,0.180 ,3.450 ,1.780 ,7.540 ,4.030 ,,
1994/05/25,11:50,1.48 ,4.00,,0.011 ,7.200 ,12.300 ,6.900 ,0.250 ,3.560 ,1.440 ,8.190 ,4.210 ,,
1994/05/27,08:00,2.49 ,6.30,0.020 ,0.011 ,8.000 ,16.500 ,7.000 ,0.120 ,3.620 ,1.500 ,11.300 ,5.520 ,,
1994/06/01,12:50,1.39 ,4.80,0.020 ,0.013 ,7.500 ,13.300 ,6.500 ,0.240 ,3.400 ,1.580 ,8.950 ,4.540 ,,
1994/06/03,13:00,1.14 ,4.40,0.030 ,0.011 ,7.300 ,12.400 ,6.200 ,0.240 ,3.190 ,1.420 ,8.560 ,4.290 ,,
1994/06/06,12:45,1.03 ,4.40,0.020 ,0.012 ,7.100 ,12.000 ,6.200 ,0.240 ,3.330 ,1.430 ,8.680 ,4.390 ,,
1994/06/08,12:30,2.55 ,7.90,0.020 ,0.015 ,8.700 ,16.700 ,7.100 ,0.250 ,3.310 ,1.790 ,13.000 ,6.250 ,,
1994/06/10,13:45,1.57 ,6.80,0.020 ,0.015 ,8.500 ,14.900 ,7.100 ,0.200 ,3.450 ,1.800 ,12.100 ,5.660 ,,
1994/06/13,13:15,1.26 ,5.70,0.030 ,0.016 ,8.400 ,13.700 ,6.600 ,0.300 ,3.960 ,1.910 ,11.600 ,5.230 ,,
1994/06/15,11:50,1.06 ,5.30,0.040 ,0.014 ,8.600 ,13.300 ,6.400 ,0.280 ,3.540 ,2.030 ,11.500 ,5.120 ,,
1994/06/17,12:10,1.18 ,5.70,0.080 ,0.030 ,9.200 ,13.900 ,7.200 ,0.340 ,4.290 ,2.370 ,12.900 ,5.400 ,,
1994/06/20,13:35,2.55 ,9.10,0.030 ,0.021 ,9.400 ,17.200 ,7.700 ,0.230 ,3.730 ,2.200 ,14.700 ,6.900 ,,
