DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1982/12/22,10:43,2.81,7.00,,,,,,,,,,,,
1982/12/23,10:40,2.62,6.65,,,,,,,,,,,,
1982/12/27,11:40,1.97,6.39,,,,,,,,,,,,
1982/12/28,09:50,2.19,6.30,,,,,,,,,,,,
1982/12/29,10:55,2.37,6.21,,,,,,,,,,,,
1982/12/30,09:55,1.97,5.95,,,,,,,,,,,,
1983/01/03,11:37,1.97 ,6.83,,,,,,,,,,,,
1983/01/04,09:27,1.76 ,6.83,,,,,,,,,,,,
1983/01/05,10:15,1.66 ,6.48,,,,,,,,,,,,
1983/01/06,11:22,1.71 ,6.83,,,,,,,,,,,,
1983/01/07,10:45,1.71 ,7.53,,,,,,,,,,,,
1983/01/10,13:08,1.43 ,6.13,,,,,,,,,,,,
1983/01/11,10:32,1.97 ,6.48,,,,,,,,,,,,
1983/01/12,10:52,1.62 ,6.30,,,,,,,,,,,,
1983/01/13,10:25,1.48 ,6.48,,,,,,,,,,,,
1983/01/24,15:53,3.23 ,4.90,,,,,,,,,,,,
1983/01/25,14:54,3.15 ,6.13,,,,,,,,,,,,
1983/01/26,13:42,3.01 ,6.65,,,,,,,,,,,,
1983/01/27,11:06,3.08 ,5.95,,,,,,,,,,,,
1983/01/28,11:52,2.94 ,6.48,,,,,,,,,,,,
1983/01/31,11:35,2.94 ,5.95,,,,,,,,,,,,
1983/02/01,10:10,2.74 ,6.30,,,,,,,,,,,,
1983/02/02,10:55,3.30 ,6.13,,,,,,,,,,,,
1983/02/03,14:09,33.45 ,9.45,,,,,,,,,,,,
1983/02/08,15:09,4.68 ,7.00,0.040 ,,,,,,,,,,,
1983/02/10,14:05,3.23 ,6.30,0.050 ,,,,,,,,,,,
1983/02/11,13:00,2.81 ,6.40,0.070 ,,,,,,,,,,,
1983/02/15,15:40,2.31 ,5.60,0.060 ,,,,,,,,,,,
1983/02/16,15:42,2.25 ,5.10,0.120 ,,,,,,,,,,,
1983/02/17,15:45,2.37 ,5.80,0.080 ,,,,,,,,,,,
1983/02/18,10:55,2.43 ,5.40,0.200 ,,,,,,,,,,,
1983/02/22,15:55,9.13 ,6.50,0.390 ,,,,,,,,,,,
1983/02/23,15:53,10.01 ,7.25,0.240 ,,,,,,,,,,,
1983/02/24,11:27,9.13 ,8.70,,,,,,,,,,,,
1983/02/25,14:28,8.30 ,8.60,,,,,,,,,,,,
1983/02/27,08:50,4.86 ,4.50,,,,,,,,,,,,
1983/02/28,15:42,4.33 ,7.40,0.020 ,,,,,,,,,,,
1983/03/01,15:33,3.99 ,6.90,0.050 ,,,,,,,,,,,
1983/03/02,15:25,3.60 ,6.80,0.040 ,,,,,,,,,,,
1983/03/03,11:50,3.15 ,6.60,0.070 ,,,,,,,,,,,
1983/03/04,15:25,2.81 ,6.30,,,,,,,,,,,,
1983/03/07,15:32,2.55 ,5.90,,,,,,,,,,,,
1983/03/08,14:26,2.81 ,5.70,,,,,,,,,,,,
1983/03/09,15:22,2.74 ,5.90,,,,,,,,,,,,
1983/03/10,12:46,6.55 ,5.20,,,,,,,,,,,,
1983/03/14,15:40,4.42 ,7.10,,,,,,,,,,,,
1983/03/15,09:31,4.08 ,6.90,0.030 ,,,,,,,,,,,
1983/03/16,11:35,3.08 ,6.20,,,,,,,,,,,,
1983/03/17,10:43,2.81 ,6.00,,,,,,,,,,,,
1983/03/18,10:20,2.74 ,5.90,,,,,,,,,,,,
1983/03/21,10:45,7.03 ,6.00,,,,,,,,,,,,
1983/03/22,09:10,11.27 ,8.80,0.030 ,,,,,,,,,,,
1983/03/23,09:09,9.72 ,9.30,0.040 ,,,,,,,,,,,
1983/03/24,15:50,6.79 ,8.40,0.030 ,,,,,,,,,,,
1983/03/25,10:00,5.05 ,8.10,0.030 ,,,,,,,,,,,
1983/03/28,15:33,5.24 ,6.40,0.010 ,,,,,,,,,,,
1983/03/29,15:30,4.59 ,6.80,0.010 ,,,,,,,,,,,
1983/03/30,09:23,4.59 ,6.95,,,,,,,,,,,,
1983/03/31,10:51,4.50 ,7.05,,,,,,,,,,,,
1983/04/01,14:58,3.99 ,6.80,0.040 ,,,,,,,,,,,
1983/04/04,15:08,5.15 ,6.55,,,,,,,,,,,,
1983/04/05,09:36,4.96 ,6.70,,,,,,,,,,,,
1983/04/06,10:20,4.68 ,6.55,,,,,,,,,,,,
